depvar,bandwidth,time,coef,se,t_stat,n_obs,method,path,pvalue,ci_lower,ci_upper,ci_width,auto_bw
securitized,0.05,2,0.11443668987815003,0.030831700231299667,3.7116568019163734,13410,xgb,rdflex,0.00020590705009526086,0.05376423324702418,0.17480679071909982,0.12104255747207565,
securitized,0.05,2,0.11796027520459154,0.03136000402117667,3.761487885171691,13410,nnet,rdflex,0.00016890560369188414,0.05588473390349029,0.17997273948092044,0.12408800557743015,
securitized,0.05,2,0.12191935694208672,0.03128927430274794,3.8965223597844623,13410,sl,rdflex,9.758380212783433e-05,0.06075685441516813,0.18298556696360938,0.12222871254844125,
securitized,0.1,2,0.14029792865684132,0.032059236043987145,4.376209353970393,13410,nocov,rdflex,1.2076103224541873e-05,0.0774520700169622,0.20312685187456075,0.12567478185759856,
securitized,0.1,2,0.1077684041777924,0.03100798332267443,3.4755050999717,13410,ridge,rdflex,0.0005098922973688659,0.046927696060308305,0.1686091122952765,0.1216814162349682,
securitized,0.1,2,0.11288025182756574,0.03100868031305309,3.64027913113248,13410,lasso,rdflex,0.00027234263875056613,0.052422054719729314,0.17333844893540218,0.12091639421567286,
securitized,0.1,2,0.11248649756602944,0.0308580025947062,3.6452941897583124,13410,rf,rdflex,0.0002670860905840955,0.05200592384556175,0.17296707128649713,0.12096114744093539,
securitized,0.1,2,0.12029973162102212,0.03083257444350182,3.9017089488087207,13410,lgbm,rdflex,9.55159619637655e-05,0.05986899616110845,0.1807304670809358,0.12086147091982735,
securitized,0.1,2,0.1140578439614635,0.030686396060477045,3.716886262455754,13410,xgb,rdflex,0.00020169318574455162,0.05406678035440007,0.17404890756852692,0.11998212721412685,
securitized,0.1,2,0.11792106565962746,0.031277679411523894,3.770134737559233,13410,nnet,rdflex,0.00016315943715861003,0.05661794049305067,0.17922419082620425,0.12260625033315359,
securitized,0.1,2,0.12083741708469906,0.031342235128916325,3.8554179875070407,13410,sl,rdflex,0.0001155320582903631,0.05984194599650563,0.18223376721788143,0.12239182122137579,
securitized,0.15,2,0.14035066952567238,0.032049514460151536,4.379182396044597,13410,nocov,rdflex,1.1912539771996336e-05,0.0775347754617797,0.20316656358956506,0.12563178812778536,
securitized,0.15,2,0.10754589329458011,0.030951558722106635,3.4746519314313966,13410,ridge,rdflex,0.0005115166035375142,0.04687828184281831,0.16821350474634192,0.12133522290352361,
securitized,0.15,2,0.11265659314319003,0.030875388472876,3.6487506300417483,13410,lasso,rdflex,0.0002635187404528099,0.05218036758799959,0.17313281869838046,0.12095245111038086,
securitized,0.15,2,0.11408874743058013,0.030841583382769794,3.699185804264442,13410,rf,rdflex,0.00021629221838928564,0.053640354774162326,0.17453714008699794,0.12089678531283563,
securitized,0.15,2,0.12120049307557759,0.030826761691827072,3.931664775146032,13410,lgbm,rdflex,8.435964499770176e-05,0.060891138103739216,0.18150984804741596,0.12061870994367674,
securitized,0.15,2,0.11574883777285586,0.0306215499200772,3.7799797226124223,13410,xgb,rdflex,0.0001568411314483019,0.05585874787107956,0.17563892767463216,0.1197801798035526,
securitized,0.15,2,0.12023582458832245,0.03123797288288848,3.8490277534681248,13410,nnet,rdflex,0.00011858757234565962,0.05917153213231935,0.18130011704432555,0.1221285849120062,
securitized,0.15,2,0.11987629297904195,0.031527285340052044,3.80230304277901,13410,sl,rdflex,0.00014335722364000809,0.058083949182222316,0.1816686367758616,0.12358468759363928,
securitized,0.2,2,0.13998115221611035,0.032054918322736665,4.366916515173936,13410,nocov,rdflex,1.2601286451712356e-05,0.07718306289807625,0.20279490912837142,0.12561184623029517,
securitized,0.2,2,0.10775690972349064,0.030892635721469552,3.488109939696809,13410,ridge,rdflex,0.000486448015948051,0.04710331378939828,0.168410505657583,0.12130719186818473,
securitized,0.2,2,0.11353794542868131,0.03078456254194979,3.6881454876600697,13410,lasso,rdflex,0.0002258944823713179,0.05314960875814446,0.17392628209921818,0.12077667334107373,
securitized,0.2,2,0.11335232061347643,0.03074723289305151,3.686586074517705,13410,rf,rdflex,0.00022728259022104338,0.053054229687252374,0.17365041153970048,0.12059618185244811,
securitized,0.2,2,0.1198402314939358,0.030808933448225023,3.8897883854152076,13410,lgbm,rdflex,0.00010033167417514361,0.05939892937740182,0.18028153361046978,0.12088260423306796,
securitized,0.2,2,0.11315658621419411,0.030630957326843327,3.694190325387896,13410,xgb,rdflex,0.00022058853928168414,0.05313980898463637,0.17317336344375184,0.12003355445911547,
securitized,0.2,2,0.1191342620834651,0.03128262998254969,3.808319893497493,13410,nnet,rdflex,0.00013991419823956015,0.05798196713914064,0.18062233296496585,0.12264036582582521,
securitized,0.2,2,0.11999979016905266,0.03138247475934719,3.8237835317086017,13410,sl,rdflex,0.00013141930610093672,0.058156054786974644,0.18184352555113067,0.12368747076415604,
securitized,auto,2,0.14000882722978875,0.03204197492570947,4.369544247956142,13410,nocov,rdflex,1.2450611106771912e-05,0.07718364860317523,0.20287271994949005,0.12568907134631482,
securitized,auto,2,0.10608591711067374,0.031050844575803833,3.416522756786477,13410,ridge,rdflex,0.0006342636242978306,0.04524708650523512,0.1670612690826806,0.12181418257744547,
securitized,auto,2,0.11291951735014502,0.030956290353073315,3.6477083029728874,13410,lasso,rdflex,0.0002645897815282738,0.052209625268292814,0.17362940943199723,0.12141978416370441,
securitized,auto,2,0.11336196265418576,0.030874646849437776,3.67168451211775,13410,rf,rdflex,0.00024095702101272688,0.0527007678214137,0.17387343584119724,0.12117266801978355,
securitized,auto,2,0.1192192524038433,0.03080981484463476,3.869521871683829,13410,lgbm,rdflex,0.00010904899882083795,0.058834760987154074,0.17960374382053254,0.12076898283337847,
securitized,auto,2,0.11304052069090662,0.030901778695699485,3.6580587093078285,13410,xgb,rdflex,0.00025413284178686326,0.052735958252749064,0.17334508312906416,0.12060912487631509,
securitized,auto,2,0.12260709115933419,0.03119985676187431,3.9297325015016717,13410,nnet,rdflex,8.504041391789978e-05,0.06116582139199226,0.18389001934476112,0.12272419795276887,
securitized,auto,2,0.12256173841734501,0.031116509030778814,3.938801049183036,13410,sl,rdflex,8.188979745627364e-05,0.061718373598147185,0.18340510323654283,0.12168672963839564,
securitized,0.01,3,0.2041157735960562,0.04578413692013698,4.458220408350236,9505,nocov,rdflex,8.264290155705189e-06,0.11442856429426371,0.2938029828978487,0.17937441860358497,
securitized,0.01,3,0.17844588016677643,0.03934809374087612,4.535057818605349,9505,ridge,rdflex,5.758770743337203e-06,0.10117499486881829,0.25530784871150397,0.15413285384268569,
securitized,0.01,3,0.19272561321837034,0.04083259352002613,4.719896450463013,9505,lasso,rdflex,2.3596473176039195e-06,0.11336264947911995,0.27190357194585624,0.1585409224667363,
securitized,0.01,3,0.18486391426380172,0.040763449569434916,4.535040979515522,9505,rf,rdflex,5.759230218845063e-06,0.10519744336893992,0.26475880730550894,0.159561363936569,
securitized,0.01,3,0.1653249993944776,0.04023681265377433,4.10879959148478,9505,lgbm,rdflex,3.977210187521074e-05,0.08486075539578603,0.24578924339316915,0.16092848799738313,
securitized,0.01,3,0.17661343277091107,0.04005587383569102,4.409176878661502,9505,xgb,rdflex,1.0376425177405533e-05,0.09810815175829204,0.2551187137835301,0.15701056202523808,
securitized,0.01,3,0.18159868105903926,0.04008031954302527,4.530869093099355,9505,nnet,rdflex,5.874153066357137e-06,0.10085208497635025,0.26015466385222563,0.1593025788758754,
securitized,0.01,3,,,,9505,sl,rdflex,,,,,
securitized,0.02,3,0.20452950445183626,0.04578788817866954,4.466890974611864,9505,nocov,rdflex,7.936455001180025e-06,0.11478689269349666,0.29427211621017585,0.17948522351667917,
securitized,0.02,3,0.18026027247938087,0.038742948530808355,4.65272467158864,9505,ridge,rdflex,3.2757751096315785e-06,0.104203113359448,0.25631743159931375,0.15211431823986576,
securitized,0.02,3,0.19056910361948118,0.041169032426284786,4.628942979427673,9505,lasso,rdflex,3.6753694423113785e-06,0.10995480518602282,0.2711189847368276,0.16116417955080478,
securitized,0.02,3,0.19021822624343093,0.039502257601412336,4.815376077053125,9505,rf,rdflex,1.4692291984662765e-06,0.11224968548077996,0.2681867670060819,0.15593708152530195,
securitized,0.02,3,0.16541877223413556,0.039164446172692616,4.223697470525543,9505,lgbm,rdflex,2.4032660521806002e-05,0.08776934901842547,0.24230877744119184,0.15453942842276636,
securitized,0.02,3,0.17948618076070622,0.03892828239466443,4.6106884177686425,9505,xgb,rdflex,4.0133769447484415e-06,0.1030356814991653,0.2559366800222471,0.1529009985230818,
securitized,0.02,3,0.18016449123641282,0.03907431385782662,4.610816504467569,9505,nnet,rdflex,4.010904636614885e-06,0.10322166509512347,0.25648183031879357,0.1532601652236701,
securitized,0.02,3,0.1968297804886393,0.04020730390978265,4.895373759212678,9505,sl,rdflex,9.811906289187596e-07,0.1182163590077388,0.2754432019695398,0.157226842961801,
securitized,0.03,3,0.20458846495796174,0.04582152558448304,4.46489858965419,9505,nocov,rdflex,8.010668542306072e-06,0.11483985886440501,0.2944128411687906,0.17957298230438556,
securitized,0.03,3,0.18075388038167295,0.03842312694468624,4.704299070762393,9505,ridge,rdflex,2.547396025359893e-06,0.10528302362020547,0.2560758383518048,0.15079281473159933,
