"depvar","bandwidth","time","method","coef","se","t_stat","pvalue","ci_lower","ci_upper","ci_width","n_obs"
"originated","0.03",1,"rdrobust",0.0268944801237104,0.0239437052255196,1.12323802312124,0.511248789270369,-0.0312003129039597,0.0626572868929641,0.0938575997969237,5550
"originated","0.04",1,"rdrobust",0.0274547442766872,0.0218154165818198,1.2585019485517,0.3313407083991,-0.0215655661198726,0.0639492954963368,0.0855148616162094,6664
"originated","0.05",1,"rdrobust",0.0196145616167188,0.02007403004148,0.977111301327544,0.100560088267872,-0.00637992049087694,0.072308831320875,0.0786887518117519,8305
"originated","0.1",1,"rdrobust",0.0182784704685225,0.0165603795009997,1.10374707701711,0.282505148132927,-0.0146601627540532,0.0502553320304963,0.0649154947845495,14486
"originated","0.15",1,"rdrobust",0.0135187688295264,0.0146094764856762,0.925342454452824,0.129070660297915,-0.00646012238990372,0.0508079730999164,0.0572680954898201,21421
"originated","0.2",1,"rdrobust",0.00693304175990211,0.0131863032338392,0.525775999304358,0.115060346814931,-0.00506504179266353,0.0466243170624344,0.0516893588550979,28150
"originated","auto",1,"rdrobust",0.0276424453500117,0.020111563513036,1.37445531433169,0.0998210429562628,-0.00631990109602824,0.0725159792206526,0.0788358803166808,6141
"originated","0.01",2,"rdrobust",0.0679745727223543,0.0676979857750349,1.00408560083661,0.182508715611039,-0.0424394357763526,0.222931792113594,0.265371227889946,2618
"originated","0.02",2,"rdrobust",0.0930711442096625,0.041332640529458,2.25175897347595,0.0592371811306929,-0.0030393992033127,0.158981574444044,0.162020973647356,3319
"originated","0.03",2,"rdrobust",0.0943142549305829,0.0337391750239562,2.79539303683673,0.00487852297556706,0.0288464325166793,0.161101568346774,0.132255135830095,4006
"originated","0.04",2,"rdrobust",0.0896012774577518,0.0300725020707629,2.97950856390044,0.00151789219580794,0.0364261269455529,0.154308168912956,0.117882041967403,4732
"originated","0.05",2,"rdrobust",0.0804540463867118,0.0270340079154972,2.97603102870262,0.000290179080535861,0.0449832149116922,0.150954578655983,0.10597136374429,6302
"originated","0.1",2,"rdrobust",0.0594372264466917,0.0206847392696781,2.87348202323348,0.000158292704493773,0.037599092073673,0.118681780070014,0.0810826879963408,10526
"originated","0.15",2,"rdrobust",0.0476308394506914,0.0180773079644287,2.63484140140867,0.000309828299963837,0.0297729072936662,0.100634652389105,0.0708617450954386,15346
"originated","0.2",2,"rdrobust",0.0413187634518528,0.0161155893995153,2.56390023520304,0.000696958767643818,0.0230583258670925,0.0862302754924633,0.0631719496253708,19944
"originated","auto",2,"rdrobust",0.0949550866646743,0.0298866743448949,3.17717138979346,0.00132887765178862,0.0373495356707632,0.154503146338106,0.117153610667342,3841
"originated","0.01",3,"rdrobust",0.1371938186961,0.0678887764397497,2.02086156049457,0.0259158578966282,0.0181606771711581,0.28427979072396,0.266119113552802,2314
"originated","0.02",3,"rdrobust",0.108085638338332,0.0446824578402749,2.4189725355911,0.00222998490497834,0.0490522005155783,0.224204216730915,0.175152016215336,3278
"originated","0.03",3,"rdrobust",0.0908415486979699,0.0362309798033654,2.50728931955442,0.000470646149557045,0.0556857674646724,0.197708598543061,0.142022831078388,3756
"originated","0.04",3,"rdrobust",0.0890343988401061,0.0329499171629354,2.7021129795209,0.00145127159115125,0.0403402839695803,0.169501585835443,0.129161301865863,4157
"originated","0.05",3,"rdrobust",0.0973315185391977,0.0303784145057011,3.20396966474111,0.00179626590741881,0.0353008290692115,0.154382025746418,0.119081196677207,5172
"originated","0.1",3,"rdrobust",0.0785300516263917,0.0218468710481552,3.59456745331149,6.61115464581054e-06,0.0556193789231606,0.14125753978171,0.0856381608585498,8009
"originated","0.15",3,"rdrobust",0.0621640646541297,0.0187817027094011,3.30982050008777,2.17707222057892e-06,0.0521434097696609,0.12576633152719,0.0736229217575289,11037
"originated","0.2",3,"rdrobust",0.0571085786292507,0.0168311727370322,3.39302433178643,2.30992157291955e-05,0.0382513420981091,0.10422832686242,0.0659769847643112,14251
