bandwidth,poly_order,method,beta1,se,t_stat,pvalue,ci_lower,ci_upper,ci_width,n_obs,covariates_used
100,2,rf,34.74095677205926,39.8852938576004,0.8710217078026905,0.38374230045238134,-43.43278270163417,113.98504228484036,157.41782498647453,1146,"log_volume, log_users, mkt_ret, log_users_lag"
100,2,lgbm,48.56138507419306,35.28315150292264,1.3763335474772012,0.16871839120299514,-20.592321132605598,117.71509128099171,138.30741241359732,1146,"log_volume, log_users, mkt_ret, log_users_lag"
100,2,xgb,75.9476822431362,38.508908611196574,1.9722107164848135,0.04858555682058841,0.47160828124656007,151.42375620502582,150.95214792377925,1146,"log_volume, log_users, mkt_ret, log_users_lag"
100,2,nnet,161.30394086842148,48.78911871361201,3.3061458194246534,0.0009458884855117895,62.18955138389107,257.7108053354676,195.52125395157657,1146,"log_volume, log_users, mkt_ret, log_users_lag"
100,2,sl,28.139736643107682,32.60003332267567,0.8631812233006053,0.38803783569321837,-37.28134285401684,93.5608161402322,130.84215899424905,1146,"log_volume, log_users, mkt_ret, log_users_lag"
100,3,nocov,268.2703365361708,72.64744765269083,3.6927702927527997,0.000221824373775727,126.63045600521752,411.3574945443911,284.7270385391736,1146,"log_volume, log_users, mkt_ret, log_users_lag"
100,3,ridge,176.5548406901455,46.7449495517987,3.7769821634849077,0.0001587400947601461,85.80511548390481,267.3045658963862,181.49945041248137,1146,"log_volume, log_users, mkt_ret, log_users_lag"
100,3,lasso,43.38051665331295,27.77347378654978,1.5619406123522581,0.11830197992922117,-14.296863346927175,97.81394420415191,112.11080755107909,1146,"log_volume, log_users, mkt_ret, log_users_lag"
100,3,rf,36.72919958176345,42.90919995530339,0.8559749335812047,0.39201164462216154,-51.421405896335656,124.83948144442527,176.26088734076092,1146,"log_volume, log_users, mkt_ret, log_users_lag"
100,3,lgbm,37.71803448964806,51.313660591595585,0.7350486021616185,0.46230989495212926,-64.66741339084707,138.24258944418884,202.91000283503593,1146,"log_volume, log_users, mkt_ret, log_users_lag"
100,3,xgb,53.56255842816449,37.3745244876832,1.433130164527339,0.15182064247974217,-17.17049267586863,124.32174378544013,141.49223646130878,1146,"log_volume, log_users, mkt_ret, log_users_lag"
100,3,nnet,146.61135223027463,52.317082263464926,2.8023610241096932,0.005073006827227629,40.3501959605056,245.428117818855,205.07792185834938,1146,"log_volume, log_users, mkt_ret, log_users_lag"
100,3,sl,36.23941435731888,35.26741876705505,1.0275607238704925,0.3041565074672894,-39.90939368531957,102.65463403901072,142.5640277243303,1146,"log_volume, log_users, mkt_ret, log_users_lag"
125,1,nocov,260.82124288288594,54.4740279941292,4.787992599170292,1.6845785928100743e-06,154.1422878565188,367.5001979092531,213.35791005273427,1566,"log_volume, log_users, mkt_ret, log_users_lag"
125,1,ridge,66.00946152394667,40.11891254005691,1.645345233573797,0.09989863666425218,-11.677222565035464,144.5247592278438,156.20198179287925,1566,"log_volume, log_users, mkt_ret, log_users_lag"
125,1,lasso,55.84405206339686,25.686646936041445,2.17404989457931,0.029701388301017016,6.037882796204592,106.18895494163422,100.15107214542962,1566,"log_volume, log_users, mkt_ret, log_users_lag"
125,1,rf,19.14455513936493,31.407759185325986,0.6095485840425525,0.5421608799147626,-43.59304868772395,79.51417061540616,123.10721930313011,1566,"log_volume, log_users, mkt_ret, log_users_lag"
125,1,lgbm,40.257640462645206,36.48401870171154,1.1034321846994513,0.2698395263563321,-32.27953455625315,114.59885820196084,146.87839275821398,1566,"log_volume, log_users, mkt_ret, log_users_lag"
125,1,xgb,20.580748010645152,20.38603127986374,1.0095514780737995,0.3127102265550685,-14.914614733974545,61.63698189875338,76.55159663272792,1566,"log_volume, log_users, mkt_ret, log_users_lag"
125,1,nnet,116.8331677852722,37.09825523584217,3.149290095788516,0.0016366763761127535,44.12192363374706,189.54441193679733,145.42248830305027,1566,"log_volume, log_users, mkt_ret, log_users_lag"
125,1,sl,18.74186290205153,18.29965392195395,1.0241648821329383,0.30575740285813735,-17.56994023727323,55.05366604137629,72.62360627864952,1566,"log_volume, log_users, mkt_ret, log_users_lag"
125,2,nocov,301.229068613128,68.4261736813109,4.402249203880328,1.0713439876344448e-05,167.1162325978761,435.3419046283799,268.2256720305038,1566,"log_volume, log_users, mkt_ret, log_users_lag"
