dayuserchgw,gt300,mktcap1_300,log_volume,log_users,mkt_ret,log_users_lag
1312.0,1,64.35712,17.055782,10.774174,0.37,10.737005
1312.0,1,64.35712,17.055782,10.774174,0.37,10.737005
93.0,1,35.063416,16.01288,7.41698,0.53,7.3594675
965.0,1,38.489563,15.351156,8.688622,0.53,8.511175
-13.0,0,-28.736694,14.39241,6.685861,1.3,6.7019606
-13.0,0,-28.736694,14.39241,6.685861,1.3,6.7019606
-13.0,0,-28.736694,14.39241,6.685861,1.3,6.7019606
6.0,0,-48.631973,11.383614,4.8441873,0.41,4.7957907
-37.0,0,-72.831024,13.137237,8.925853,0.07,8.930758
67.0,0,-38.690186,15.200222,7.1356874,0.85,7.080868
67.0,0,-38.690186,15.200222,7.1356874,0.85,7.080868
1.0,0,-45.850998,13.7834015,5.7620516,0.72,5.7589016
80.0,0,-56.065353,14.955091,7.4524026,-0.16,7.4048877
80.0,0,-56.065353,14.955091,7.4524026,-0.16,7.4048877
0.0,0,-71.0,17.49182,5.786897,-1.03,5.786897
0.0,0,-71.0,17.49182,5.786897,-1.03,5.786897
0.0,0,-71.0,17.49182,5.786897,-1.03,5.786897
0.0,0,-71.0,17.49182,5.786897,-1.03,5.786897
-6.0,0,-56.455917,15.329385,5.209486,-0.7,5.241747
-6.0,0,-56.455917,15.329385,5.209486,-0.7,5.241747
2.0,0,-6.2380676,9.392745,6.3438807,1.06,6.340359
20.0,0,-16.26181,12.338923,4.9972124,1.06,4.8520303
178.0,0,-57.348694,15.77205,6.650279,0.48,6.3885612
178.0,0,-57.348694,15.77205,6.650279,0.48,6.3885612
0.0,0,-46.83043,17.621109,4.4886365,0.16,4.4886365
1.0,0,-21.20578,10.677592,3.2580965,0.28,3.218876
-8.0,0,-2.469574,16.108042,5.805135,-0.09,5.8289456
-143.0,0,-63.783478,15.481814,7.024649,0.11,7.1444073
1.0,0,-41.32184,6.4216223,4.204693,-0.7,4.189655
1.0,0,-41.32184,6.4216223,4.204693,-0.7,4.189655
134.0,0,-33.006744,15.246411,6.070738,0.85,5.7004437
134.0,0,-33.006744,15.246411,6.070738,0.85,5.7004437
134.0,0,-33.006744,15.246411,6.070738,0.85,5.7004437
134.0,0,-33.006744,15.246411,6.070738,0.85,5.7004437
134.0,0,-33.006744,15.246411,6.070738,0.85,5.7004437
134.0,0,-33.006744,15.246411,6.070738,0.85,5.7004437
134.0,0,-33.006744,15.246411,6.070738,0.85,5.7004437
95.0,0,-41.0372,15.073656,7.4960976,0.16,7.441907
-5.0,0,-12.244965,12.413091,5.7462034,-0.82,5.7620516
-25.0,0,-63.930878,12.619846,6.1202974,-0.13,6.173786
4.0,0,-46.207306,11.862412,5.32301,-0.13,5.3033047
47.0,0,-33.017334,14.152057,6.4831076,0.46,6.408529
