securitized,diff_log_loan_amount,below_limit,applicant_income_log,log_loan_amount,agency_1,agency_2,agency_3,agency_5,agency_7,agency_9,loan_purpose,occupancy,year
0.0,0.0694723728147677,0.0,5.765191102784844,6.102558594613569,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2015
0.0,-0.1525532353981011,1.0,5.236441962829949,5.8805329864007,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2015
1.0,-0.1525532353981011,1.0,4.700480365792417,5.8805329864007,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2015
0.0,-0.1141923675256553,1.0,5.365976015021851,5.918893854273146,1.0,0.0,0.0,0.0,0.0,0.0,1,1,2015
0.0,-0.1694550462007047,1.0,4.454347296253507,5.863631175598097,1.0,0.0,0.0,0.0,0.0,0.0,1,1,2015
0.0,-0.0902868466721003,1.0,5.0238805208462765,5.942799375126701,1.0,0.0,0.0,0.0,0.0,0.0,1,1,2015
0.0,-0.1088304243842692,1.0,5.662960480135946,5.924255797414532,1.0,0.0,0.0,0.0,0.0,0.0,1,1,2015
0.0,-0.0772488523339705,1.0,5.056245805348308,5.955837369464831,1.0,0.0,0.0,0.0,0.0,0.0,1,1,2015
0.0,-0.0242730363562069,1.0,4.969813299576001,6.008813185442595,1.0,0.0,0.0,0.0,0.0,0.0,1,1,2015
1.0,-0.13318886821631,1.0,4.624972813284271,5.899897353582492,1.0,0.0,0.0,0.0,0.0,0.0,1,1,2015
1.0,-0.0669394826751093,1.0,4.770684624465665,5.966146739123692,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2015
1.0,-0.172299998332936,1.0,5.262690188904886,5.860786223465865,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2015
1.0,0.0,1.0,5.579729825986222,6.0330862217988015,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2015
0.0,-0.1837614418519422,1.0,4.787491742782046,5.849324779946859,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2015
1.0,-0.1637893086650272,1.0,4.955827057601261,5.869296913133774,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2015
0.0,0.0672327302212627,0.0,4.990432586778736,6.100318952020064,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2015
1.0,0.0,1.0,4.882801922586371,6.0330862217988015,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2015
1.0,-0.1553504400191627,1.0,4.6913478822291435,5.877735781779639,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2015
0.0,-0.158155490946771,1.0,4.762173934797756,5.87493073085203,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2015
0.0,-0.1837614418519422,1.0,4.584967478670572,5.849324779946859,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2015
0.0,-0.1168841591913665,1.0,4.418840607796598,5.916202062607435,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2015
0.0,0.0,1.0,4.442651256490317,6.0330862217988015,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2015
1.0,-0.172299998332936,1.0,4.74493212836325,5.860786223465865,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2015
1.0,-0.1304528883974356,1.0,4.882801922586371,5.902633333401366,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2015
1.0,-0.0643786618134356,1.0,4.8283137373023015,5.968707559985366,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2015
0.0,0.0,1.0,4.74493212836325,6.0330862217988015,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2015
1.0,-0.1304528883974356,1.0,4.787491742782046,5.902633333401366,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2015
1.0,-0.1168841591913665,1.0,5.293304824724492,5.916202062607435,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2015
0.0,-0.1497638333105229,1.0,4.795790545596741,5.883322388488279,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2015
0.0,-0.1666181648655049,1.0,4.700480365792417,5.8664680569332965,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2015
0.0,-0.158155490946771,1.0,4.897839799950911,5.87493073085203,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2015
0.0,0.0,1.0,5.3471075307174685,6.0330862217988015,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2015
0.0,0.0,1.0,5.616771097666572,6.0330862217988015,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2015
0.0,-0.1195832161605316,1.0,5.049856007249537,5.91350300563827,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2015
0.0,-0.1751530673153425,1.0,5.5093883366279774,5.857933154483459,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2015
1.0,-0.0169290621004476,1.0,5.225746673713202,6.016157159698354,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2015
1.0,-0.0798428875110168,1.0,5.0238805208462765,5.953243334287785,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2015
1.0,-0.1442082634659209,1.0,4.867534450455582,5.8888779583328805,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2015
0.0,-0.180883742024327,1.0,4.795790545596741,5.8522024797744745,0.0,0.0,1.0,0.0,0.0,0.0,1,1,2015
0.0,-0.1666181648655049,1.0,4.890349128221754,5.8664680569332965,0.0,0.0,1.0,0.0,0.0,0.0,1,1,2015
1.0,-0.1222895777582744,1.0,4.983606621708336,5.910796644040527,0.0,0.0,1.0,0.0,0.0,0.0,1,1,2015
0.0,-0.1982754847361967,1.0,5.272999558563747,5.834810737062605,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2015
1.0,-0.0592766099295403,1.0,5.220355825078324,5.973809611869261,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2015
0.0,-0.1088304243842692,1.0,4.7535901911063645,5.924255797414532,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2015
0.0,0.0627383406334232,0.0,5.19295685089021,6.095824562432225,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2015
1.0,0.0,1.0,4.6443908991413725,6.0330862217988015,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2015
0.0,0.1775138552258512,0.0,5.375278407684165,6.210600077024653,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2015
0.0,0.0,1.0,4.836281906951478,6.0330862217988015,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2015
0.0,-0.1277243737442308,1.0,4.3694478524670215,5.905361848054571,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2015
0.0,-0.1837614418519422,1.0,5.10594547390058,5.849324779946859,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2015
0.0,0.0,1.0,4.90527477843843,6.0330862217988015,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2015
0.0,0.0,1.0,4.762173934797756,6.0330862217988015,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2015
