approved,diff_log_loan_amount,below_limit,applicant_income_log,log_loan_amount,agency_1,agency_2,agency_3,agency_5,agency_7,agency_9,loan_purpose,occupancy,year
1.0,-0.1195832161605316,1.0,4.6443908991413725,5.91350300563827,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2013
1.0,-0.13318886821631,1.0,5.176149732573829,5.899897353582492,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2013
1.0,-0.0416216746908197,1.0,5.5093883366279774,5.991464547107982,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2013
1.0,-0.1751530673153425,1.0,4.941642422609304,5.857933154483459,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2013
1.0,-0.1694550462007047,1.0,4.553876891600541,5.863631175598097,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2013
1.0,-0.02181904739464,1.0,5.298317366548036,6.0112671744041615,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2013
1.0,-0.1895418047674413,1.0,4.290459441148391,5.84354441703136,0.0,0.0,1.0,0.0,0.0,0.0,1,1,2013
1.0,0.0,1.0,4.189654742026425,6.0330862217988015,0.0,0.0,1.0,0.0,0.0,0.0,1,1,2013
1.0,-0.1751530673153425,1.0,4.51085950651685,5.857933154483459,0.0,0.0,1.0,0.0,0.0,0.0,1,1,2013
1.0,-0.1751530673153425,1.0,4.290459441148391,5.857933154483459,0.0,0.0,1.0,0.0,0.0,0.0,1,1,2013
1.0,-0.180883742024327,1.0,4.418840607796598,5.8522024797744745,0.0,0.0,1.0,0.0,0.0,0.0,1,1,2013
1.0,-0.158155490946771,1.0,4.290459441148391,5.87493073085203,0.0,0.0,1.0,0.0,0.0,0.0,1,1,2013
1.0,0.0,1.0,5.752572638825633,6.0330862217988015,0.0,0.0,1.0,0.0,0.0,0.0,1,1,2013
1.0,-0.1837614418519422,1.0,5.303304908059076,5.849324779946859,0.0,0.0,1.0,0.0,0.0,0.0,1,1,2013
0.0,-0.0341496598521189,1.0,4.127134385045092,5.998936561946683,0.0,0.0,1.0,0.0,0.0,0.0,1,1,2013
1.0,0.0,1.0,5.017279836814924,6.0330862217988015,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2013
1.0,-0.138683387533951,1.0,4.68213122712422,5.8944028342648505,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2013
1.0,-0.0466342165143638,1.0,4.882801922586371,5.986452005284438,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2013
1.0,-0.0267330621970689,1.0,5.0369526024136295,6.0063531596017325,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2013
1.0,-0.1895418047674413,1.0,4.442651256490317,5.84354441703136,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2013
1.0,-0.0592766099295403,1.0,4.983606621708336,5.973809611869261,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2013
1.0,-0.0366341331797803,1.0,4.7535901911063645,5.996452088619021,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2013
1.0,-0.1751530673153425,1.0,4.59511985013459,5.857933154483459,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2013
1.0,-0.0486890570463494,1.0,4.762173934797756,6.154858094016418,1.0,0.0,0.0,0.0,0.0,0.0,1,1,2013
1.0,-0.0010116338748442,1.0,4.663439094112067,6.202535517187923,0.0,0.0,1.0,0.0,0.0,0.0,1,1,2013
1.0,-0.1704609292639656,1.0,4.584967478670572,6.0330862217988015,0.0,0.0,1.0,0.0,0.0,0.0,1,1,2013
1.0,-0.1704609292639656,1.0,5.488937726156687,6.0330862217988015,0.0,0.0,1.0,0.0,0.0,0.0,1,1,2013
1.0,-0.1704609292639656,1.0,4.90527477843843,6.0330862217988015,0.0,0.0,1.0,0.0,0.0,0.0,1,1,2013
1.0,-0.1704609292639656,1.0,5.056245805348308,6.0330862217988015,0.0,0.0,1.0,0.0,0.0,0.0,1,1,2013
1.0,-0.1704609292639656,1.0,5.075173815233827,6.0330862217988015,0.0,0.0,1.0,0.0,0.0,0.0,1,1,2013
1.0,-0.1704609292639656,1.0,4.736198448394496,6.0330862217988015,0.0,0.0,1.0,0.0,0.0,0.0,1,1,2013
1.0,-0.0297610471608305,1.0,5.075173815233827,6.173786103901937,0.0,0.0,1.0,0.0,0.0,0.0,1,1,2013
1.0,-0.1704609292639656,1.0,5.14166355650266,6.0330862217988015,0.0,0.0,1.0,0.0,0.0,0.0,1,1,2013
1.0,-0.1704609292639656,1.0,5.1647859739235145,6.0330862217988015,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2013
1.0,-0.1752686308320692,1.0,4.8283137373023015,6.028278520230698,0.0,1.0,0.0,0.0,0.0,0.0,1,1,2013
1.0,0.0425596144187956,0.0,4.890349128221754,6.246106765481563,0.0,1.0,0.0,0.0,0.0,0.0,1,1,2013
1.0,-0.1167724241504606,1.0,4.852030263919617,6.0867747269123065,0.0,1.0,0.0,0.0,0.0,0.0,1,1,2013
1.0,-0.1259049077137328,1.0,5.44673737166631,6.077642243349034,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2013
1.0,-0.0965242633205125,1.0,4.74493212836325,6.107022887742255,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2013
1.0,-0.1728618908015038,1.0,4.787491742782046,6.030685260261263,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2013
1.0,-0.0010116338748442,1.0,4.882801922586371,6.202535517187923,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2013
1.0,-0.1704609292639656,1.0,5.123963979403259,6.0330862217988015,0.0,1.0,0.0,0.0,0.0,0.0,1,1,2013
1.0,-0.1776811772374529,1.0,4.418840607796598,6.025865973825314,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2013
1.0,-0.0111846615878947,1.0,4.955827057601261,6.192362489474872,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2013
1.0,-0.0942995682984015,1.0,5.1647859739235145,6.1092475827643655,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2013
1.0,-0.1561749720164895,1.0,5.099866427824199,6.0473721790462776,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2013
1.0,-0.1800995581017339,1.0,4.605170185988092,6.023447592961033,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2013
1.0,0.0110609473594243,0.0,4.6913478822291435,6.214608098422191,1.0,0.0,0.0,0.0,0.0,0.0,1,1,2013
1.0,-0.1099773810176314,1.0,5.075173815233827,6.093569770045136,1.0,0.0,0.0,0.0,0.0,0.0,1,1,2013
0.0,-0.1656762311406296,1.0,6.1070228877422545,6.037870919922137,0.0,1.0,0.0,0.0,0.0,0.0,1,1,2013
1.0,-0.1776811772374529,1.0,4.68213122712422,6.025865973825314,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2013
1.0,-0.1704609292639656,1.0,4.795790545596741,6.0330862217988015,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2013
1.0,0.0010106115059231,0.0,5.0689042022202315,6.20455776256869,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2013
1.0,-0.1704609292639656,1.0,5.017279836814924,6.0330862217988015,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2013
1.0,-0.0111846615878947,1.0,4.700480365792417,6.192362489474872,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2013
