originated,diff_log_loan_amount,below_limit,applicant_income_log,log_loan_amount,agency_1,agency_2,agency_3,agency_5,agency_7,agency_9,loan_purpose,occupancy,year
0.0,-0.172299998332936,1.0,4.31748811353631,5.860786223465865,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2014
1.0,-0.0669394826751093,1.0,4.382026634673881,5.966146739123692,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2014
1.0,-0.138683387533951,1.0,5.062595033026967,5.8944028342648505,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2014
1.0,-0.1553504400191627,1.0,4.795790545596741,5.877735781779639,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2014
1.0,-0.1497638333105229,1.0,5.176149732573829,5.883322388488279,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2014
0.0,-0.0981920261792135,1.0,5.017279836814924,5.934894195619588,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2014
1.0,-0.1222895777582744,1.0,5.049856007249537,5.910796644040527,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2014
1.0,-0.1837614418519422,1.0,4.663439094112067,5.849324779946859,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2014
0.0,-0.0798428875110168,1.0,4.927253685157205,5.953243334287785,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2014
1.0,-0.0267330621970689,1.0,5.978885764901122,6.0063531596017325,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2014
1.0,-0.1837614418519422,1.0,5.099866427824199,5.849324779946859,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2014
1.0,-0.0567353125008676,1.0,6.0844994130751715,5.976350909297934,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2014
1.0,-0.1469821903486456,1.0,4.976733742420574,5.886104031450156,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2014
1.0,-0.0441248049089377,1.0,4.983606621708336,5.988961416889864,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2014
1.0,-0.1837614418519422,1.0,4.700480365792417,5.849324779946859,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2014
1.0,-0.1088304243842692,1.0,4.59511985013459,5.924255797414532,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2014
0.0,0.0,1.0,4.762173934797756,6.0330862217988015,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2014
1.0,-0.0720808821755278,1.0,5.062595033026967,5.961005339623274,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2014
0.0,-0.1442082634659209,1.0,3.871201010907891,5.8888779583328805,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2014
1.0,-0.1982754847361967,1.0,4.927253685157205,5.834810737062605,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2014
0.0,0.0,1.0,4.890349128221754,6.0330862217988015,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2014
0.0,0.0,1.0,4.890349128221754,6.0330862217988015,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2014
1.0,-0.1304528883974356,1.0,5.318119993844216,5.902633333401366,0.0,0.0,1.0,0.0,0.0,0.0,1,1,2014
1.0,-0.0669394826751093,1.0,4.787491742782046,5.966146739123692,0.0,0.0,1.0,0.0,0.0,0.0,1,1,2014
0.0,-0.0567353125008676,1.0,4.382026634673881,5.976350909297934,0.0,0.0,1.0,0.0,0.0,0.0,1,1,2014
1.0,-0.0902868466721003,1.0,4.454347296253507,5.942799375126701,0.0,0.0,1.0,0.0,0.0,0.0,1,1,2014
1.0,-0.0850512326181558,1.0,6.349138991379798,5.948034989180646,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2014
1.0,-0.195355774632862,1.0,4.844187086458591,5.83773044716594,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2014
1.0,-0.1008410343507906,1.0,4.890349128221754,5.932245187448011,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2014
1.0,0.0,1.0,5.176149732573829,6.0330862217988015,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2014
1.0,-0.1168841591913665,1.0,5.318119993844216,5.916202062607435,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2014
1.0,0.0,1.0,5.54907608489522,6.0330862217988015,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2014
1.0,-0.1982754847361967,1.0,5.017279836814924,5.834810737062605,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2014
1.0,-0.1359323541620609,1.0,5.337538079701318,5.8971538676367405,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2014
1.0,-0.1895418047674413,1.0,4.7535901911063645,5.84354441703136,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2014
0.0,0.0,1.0,4.31748811353631,6.0330862217988015,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2014
0.0,-0.0618243820083392,1.0,4.9344739331306915,5.971261839790462,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2014
0.0,-0.0669394826751093,1.0,5.003946305945459,5.966146739123692,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2014
1.0,-0.0291991546922627,1.0,5.159055299214529,6.003887067106539,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2014
1.0,-0.0955500167163752,1.0,5.3230099791384085,5.937536205082426,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2014
1.0,-0.0981920261792135,1.0,4.276666119016055,5.934894195619588,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2014
1.0,0.0,1.0,6.234410725718371,6.0330862217988015,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2014
1.0,-0.0416216746908197,1.0,5.572154032177765,5.991464547107982,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2014
1.0,-0.0024009615375382,1.0,4.875197323201151,6.030685260261263,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2014
1.0,-0.1061601958283908,1.0,4.787491742782046,5.926926025970411,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2014
1.0,-0.1277243737442308,1.0,5.393627546352362,5.905361848054571,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2014
1.0,0.0,1.0,4.919980925828125,6.0330862217988015,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2014
1.0,-0.0618243820083392,1.0,5.272999558563747,5.971261839790462,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2014
1.0,-0.1088304243842692,1.0,4.90527477843843,5.924255797414532,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2014
1.0,-0.0929149690783699,1.0,5.062595033026967,5.940171252720432,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2014
